event_id|location|date
0|UWS|2017-06-26
1|StA|2017-03-22
2|SC|2016-11-09
3|HW|2016-06-22
4|GL|2016-02-24
5|ED|2015-10-21
6|StA|2015-06-15
7|SC|2015-02-18
8|HW|2014-10-15
9|GL|2014-06-18
10|DD|2014-02-26
11|ED|2013-10-30
12|StA|2013-04-22
13|SC|2012-12-06
14|GL|2012-03-15
15|GL|2011-11-11
16|ED|2011-03-15
17|SC|2010-11-24
18|StA|2010-06-16
19|GL|2010-02-10
20|GL|2009-05-08
21|SC|2008-10-31
22|ED|2007-09-28
23|StA|2007-06-14
24|StA|2007-03-09
25|GL|2006-08-17
26|ED|2006-06-01
27|StA|2006-02-01
28|HW|2005-06-23
29|ED|2005-03-04
30|GL|2004-12-07
31|ED|2009-01-14
32|SC|2005-10-25
