speaker,institution,"talk_title",event_id,original_title
Christopher Brown,StA,"ParaFormance: Democratizing Parallel Software Development",0,true
Andrew Gozillon,UWS,"Programmable address spaces",0,true
Conor McBride,SC,"Why walk when you can take the tube?",0,true
Michel Steuwer,ED,"Towards Composable GPU Programming: Programming GPUs with Eager Actions and Lazy Views",0,true
Rob Stewart,HW,"Mapping dataflow programs to FPGAs",0,true
Thomas Wright,ED,"Process algebra meets cellular biology",0,true
David Castro,StA,"Automatically Deriving Cost Models for Structured Parallel Processes Using Hylomorphisms",1,true
Natalia Chechina,GL,"Let it Crash and Scale",1,true
Chris Cummins,ED,"Using deep learning to generate human-like code",1,true
Robert Atkey,SC,"Compiling Parallel Functional Code with Data Parallel Idealised Algol",1,true
Daniel Hillerström,ED,"An Abstract Machine Semantics for Handlers",1,true
Wen Kokke,ED,"Give or Take: Non-Determinism, Linear Logic and Session Types",1,true
Matúš Tejiščák,StA,"Extending Dependent Types with Erasure",1,true
Murdoch Gabbay,HW,"Consistency of Quine's NF using nominal techniques",2,true
Simon Fowler,ED,"Relating Channels and Actor-based Languages in Concurrent Lambda-Calculi",2,true
Martin Ward,O,"Provably Correct Transformation of Specifications into Programs",2,true
Jan de Muijnck-Hughes,StA,"Type-Driven Design of Communicating Systems using Idris",2,true
Craig McLaughlin,ED,"The essence of Frank programming",2,true
Stephen Dolan,O,"Irrelevant classical logic in Agda",2,true
Tim Harris,O,"Do Not Believe Everything You Read in the Papers",3,true
Artem Shinkarov,HW,"Array-based data-parallel languages --- so what?",3,true
Phil Trinder,GL,"Scaling Reliably: Improving the Scalability of the Erlang Distributed Actor Platform",3,true
Paul Keir,UWS,"Compile-time Catamorphisms in C++",3,true
Brian Campbell,ED,"Tactical refinement types for proving invariants",3,true
Patrick Maier,GL,"Adaptive skeletons",3,true
Peng Fu,HW,"Proof Relevant Corecursive Resolution",3,true
Wim Vanderbauwhede,GL,"It was finally Christmas: Perl 6 is here",4,true
Jeremy Singer,GL,"Developing a Haskell MOOC at Glasgow",4,true
James McKinna,ED,"Complements Witness Consistency",4,true
Christopher Jefferson,StA,"Adding Profiling and Code Coverage to GAP",4,true
Adam Harries,ED,"Compositional Compilation for Sparse, Irregular Data Parallelism",4,true
Robert Atkey,SC,"An Interference Controlled Language for Parallel Imperative Programming",4,true
Danel Ahman,ED,"Dependent Types and Fibred Computational Effects",5,true
Guillaume Allais,SC,"Type and Scope Preserving Semantics",5,true
James Chapman,SC,"Relative Monads",5,true
Aaron Crane,O,"Writing immutable software in a mutable language",5,true
Charles Grellois,DD,"Linear logic, duality, and higher-order model-checking",5,true
Shayan Najd,ED,"Quoted Domain-Specific Languages, an Interesting Spot in the Design Space",5,true
Roly Perera,GL,"Behavioural Prototypes",5,true
Matúš Tejiščák,StA,"Erasure in dependently typed functional languages",5,true
Neil Ghani,SC,"Towards Higher Dimensional Parametricity",6,true
Conor McBride,SC,"A few observations about testing",6,true
